images_dir: /afs/crc/group/cvrl/czajka/gbir2/aczajka/BXGRID/iris_segmented_SegNet
nd1S06291_Right 375
nd1S06312_Left 376
nd1S06312_Right 377
nd1S06314_Left 378
nd1S06314_Right 379
nd1S06320_Left 380
nd1S06320_Right 381
nd1S06342_Left 382
nd1S06342_Right 383
nd1S06350_Left 384
nd1S06350_Right 385
nd1S06352_Left 386
nd1S06352_Right 387
nd1S06369_Left 388
nd1S06369_Right 389
nd1S06401_Left 390
nd1S06401_Right 391
nd1S06436_Left 392
nd1S06436_Right 393
nd1S06456_Left 394
nd1S06456_Right 395
nd1S06469_Left 396
nd1S06469_Right 397
nd1S06471_Left 398
nd1S06471_Right 399
nd1S06500_Left 400
nd1S06500_Right 401
nd1S06507_Left 402
nd1S06507_Right 403
nd1S06525_Left 404
nd1S06525_Right 405
nd1S06538_Left 406
nd1S06538_Right 407
nd1S06544_Left 408
nd1S06544_Right 409
nd1S06571_Left 410
nd1S06571_Right 411
nd1S06584_Left 412
nd1S06584_Right 413
nd1S06588_Left 414
nd1S06588_Right 415
nd1S06590_Left 416
nd1S06590_Right 417
nd1S06593_Left 418
nd1S06593_Right 419
nd1S06603_Left 420
nd1S06603_Right 421
nd1S06615_Left 422
nd1S06615_Right 423
nd1S06636_Left 424
nd1S06636_Right 425
nd1S06650_Left 426
nd1S06650_Right 427
nd1S06655_Left 428
nd1S06655_Right 429
nd1S06686_Left 430
nd1S06686_Right 431
nd1S06701_Left 432
nd1S06701_Right 433
nd1S06727_Left 434
nd1S06727_Right 435
nd1S06735_Left 436
nd1S06735_Right 437
nd1S06739_Left 438
nd1S06739_Right 439
nd1S06742_Left 440
nd1S06742_Right 441
nd1S06743_Left 442
nd1S06743_Right 443
nd1S06749_Left 444
nd1S06749_Right 445
nd1S06755_Left 446
nd1S06755_Right 447
nd1S06763_Left 448
nd1S06763_Right 449
nd1S06765_Left 450
nd1S06765_Right 451
nd1S06766_Left 452
nd1S06766_Right 453
nd1S06771_Left 454
nd1S06771_Right 455
nd1S06784_Left 456
nd1S06784_Right 457
nd1S06788_Left 458
nd1S06788_Right 459
nd1S06789_Left 460
nd1S06789_Right 461
nd1S06790_Left 462
nd1S06790_Right 463
nd1S06798_Left 464
nd1S06798_Right 465
nd1S06806_Left 466
nd1S06806_Right 467
nd1S06813_Left 468
nd1S06813_Right 469
nd1S06821_Left 470
nd1S06821_Right 471
nd1S06825_Left 472
nd1S06825_Right 473
nd1S06829_Left 474
nd1S06829_Right 475
nd1S06830_Left 476
nd1S06830_Right 477
nd1S06834_Left 478
nd1S06834_Right 479
nd1S06837_Left 480
nd1S06837_Right 481
nd1S06841_Left 482
nd1S06841_Right 483
nd1S06844_Left 484
nd1S06844_Right 485
nd1S06845_Left 486
nd1S06845_Right 487
nd1S06851_Left 488
nd1S06851_Right 489
nd1S06858_Left 490
nd1S06858_Right 491
nd1S06862_Left 492
nd1S06862_Right 493
nd1S06865_Left 494
nd1S06865_Right 495
nd1S06871_Left 496
nd1S06871_Right 497
nd1S06872_Left 498
nd1S06872_Right 499
nd1S06877_Left 500
nd1S06877_Right 501
nd1S06879_Left 502
nd1S06879_Right 503
nd1S06880_Left 504
nd1S06880_Right 505
nd1S06889_Left 506
nd1S06889_Right 507
nd1S06903_Left 508
nd1S06903_Right 509
nd1S06919_Left 510
nd1S06919_Right 511
nd1S06924_Left 512
nd1S06924_Right 513
nd1S06934_Left 514
nd1S06934_Right 515
nd1S06942_Left 516
nd1S06942_Right 517
nd1S06946_Left 518
nd1S06946_Right 519
nd1S06947_Left 520
nd1S06947_Right 521
nd1S06961_Left 522
nd1S06961_Right 523
nd1S06964_Left 524
nd1S06964_Right 525
nd1S06974_Left 526
nd1S06974_Right 527
nd1S06976_Left 528
nd1S06976_Right 529
nd1S06983_Left 530
nd1S06983_Right 531
nd1S07002_Left 532
nd1S07002_Right 533
nd1S07005_Left 534
nd1S07005_Right 535
nd1S07009_Left 536
nd1S07009_Right 537
nd1S07017_Left 538
nd1S07017_Right 539
nd1S07029_Left 540
nd1S07029_Right 541
nd1S07030_Left 542
nd1S07030_Right 543
nd1S07039_Left 544
nd1S07039_Right 545
nd1S07045_Left 546
nd1S07045_Right 547
nd1S07050_Left 548
nd1S07050_Right 549
nd1S07058_Left 550
nd1S07058_Right 551
Creating .rec file from /afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/test.lst in /afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2
nd1S02463_Left 0
nd1S02463_Right 1
nd1S04202_Left 2
nd1S04202_Right 3
nd1S04203_Left 4
nd1S04203_Right 5
nd1S04214_Left 6
nd1S04214_Right 7
nd1S04221_Left 8
nd1S04221_Right 9
nd1S04225_Left 10
nd1S04225_Right 11
nd1S04233_Left 12
nd1S04233_Right 13
nd1S04239_Left 14
nd1S04239_Right 15
nd1S04252_Left 16
nd1S04252_Right 17
nd1S04267_Left 18
nd1S04267_Right 19
nd1S04284_Left 20
nd1S04284_Right 21
nd1S04286_Left 22
nd1S04286_Right 23
nd1S04297_Left 24
nd1S04297_Right 25
nd1S04301_Left 26
nd1S04301_Right 27
nd1S04302_Left 28
nd1S04302_Right 29
nd1S04309_Left 30
nd1S04309_Right 31
nd1S04311_Left 32
nd1S04311_Right 33
nd1S04312_Left 34
nd1S04312_Right 35
nd1S04313_Left 36
nd1S04313_Right 37
nd1S04322_Left 38
nd1S04322_Right 39
nd1S04324_Left 40
nd1S04324_Right 41
nd1S04336_Left 42
nd1S04336_Right 43
nd1S04338_Left 44
nd1S04338_Right 45
nd1S04341_Left 46
nd1S04341_Right 47
nd1S04343_Left 48
nd1S04343_Right 49
nd1S04347_Left 50
nd1S04347_Right 51
nd1S04349_Left 52
nd1S04349_Right 53
nd1S04361_Left 54
nd1S04361_Right 55
nd1S04370_Left 56
nd1S04370_Right 57
nd1S04372_Left 58
nd1S04372_Right 59
nd1S04379_Left 60
nd1S04379_Right 61
nd1S04385_Left 62
nd1S04385_Right 63
nd1S04387_Left 64
nd1S04387_Right 65
nd1S04388_Left 66
nd1S04388_Right 67
nd1S04394_Left 68
nd1S04394_Right 69
nd1S04397_Left 70
nd1S04397_Right 71
nd1S04400_Left 72
nd1S04400_Right 73
nd1S04404_Left 74
nd1S04404_Right 75
nd1S04407_Left 76
nd1S04407_Right 77
nd1S04408_Left 78
nd1S04408_Right 79
nd1S04418_Left 80
nd1S04418_Right 81
nd1S04419_Left 82
nd1S04419_Right 83
nd1S04427_Left 84
nd1S04427_Right 85
nd1S04429_Left 86
nd1S04429_Right 87
nd1S04434_Left 88
nd1S04434_Right 89
nd1S04435_Left 90
nd1S04435_Right 91
nd1S04440_Left 92
nd1S04440_Right 93
nd1S04444_Left 94
nd1S04444_Right 95
nd1S04446_Left 96
nd1S04446_Right 97
nd1S04447_Left 98
nd1S04447_Right 99
nd1S04449_Left 100
nd1S04449_Right 101
nd1S04451_Left 102
nd1S04451_Right 103
nd1S04453_Left 104
nd1S04453_Right 105
nd1S04456_Left 106
nd1S04456_Right 107
nd1S04461_Left 108
nd1S04461_Right 109
nd1S04463_Left 110
nd1S04463_Right 111
nd1S04470_Left 112
nd1S04470_Right 113
nd1S04472_Left 114
nd1S04472_Right 115
nd1S04473_Left 116
nd1S04473_Right 117
nd1S04475_Left 118
nd1S04475_Right 119
nd1S04476_Left 120
nd1S04476_Right 121
nd1S04477_Left 122
nd1S04477_Right 123
nd1S04481_Left 124
nd1S04481_Right 125
nd1S04485_Left 126
nd1S04485_Right 127
nd1S04488_Left 128
nd1S04488_Right 129
nd1S04493_Left 130
nd1S04493_Right 131
nd1S04496_Left 132
nd1S04496_Right 133
nd1S04502_Left 134
nd1S04502_Right 135
nd1S04504_Left 136
nd1S04504_Right 137
nd1S04505_Left 138
nd1S04505_Right 139
nd1S04506_Left 140
nd1S04506_Right 141
nd1S04507_Left 142
nd1S04507_Right 143
nd1S04509_Left 144
nd1S04509_Right 145
nd1S04511_Left 146
nd1S04511_Right 147
nd1S04512_Left 148
nd1S04512_Right 149
nd1S04513_Left 150
nd1S04513_Right 151
nd1S04514_Left 152
nd1S04514_Right 153
nd1S04531_Left 154
nd1S04531_Right 155
nd1S04535_Left 156
nd1S04535_Right 157
nd1S04537_Left 158
nd1S04537_Right 159
nd1S04553_Left 160
nd1S04553_Right 161
nd1S04556_Left 162
nd1S04556_Right 163
nd1S04557_Left 164
nd1S04557_Right 165
nd1S04560_Left 166
nd1S04560_Right 167
nd1S04578_Left 168
nd1S04578_Right 169
nd1S04581_Left 170
nd1S04581_Right 171
nd1S04588_Left 172
nd1S04588_Right 173
nd1S04589_Left 174
nd1S04589_Right 175
nd1S04593_Left 176
nd1S04593_Right 177
nd1S04596_Left 178
nd1S04596_Right 179
nd1S04597_Left 180
nd1S04597_Right 181
nd1S04603_Left 182
nd1S04603_Right 183
nd1S04621_Left 184
nd1S04621_Right 185
nd1S04622_Left 186
nd1S04622_Right 187
nd1S04626_Left 188
nd1S04626_Right 189
nd1S04629_Left 190
nd1S04629_Right 191
nd1S04632_Left 192
nd1S04632_Right 193
nd1S04633_Left 194
nd1S04633_Right 195
nd1S04634_Left 196
nd1S04634_Right 197
nd1S04647_Left 198
nd1S04647_Right 199
nd1S04649_Left 200
nd1S04649_Right 201
nd1S04662_Left 202
nd1S04662_Right 203
nd1S04667_Left 204
nd1S04667_Right 205
nd1S04670_Left 206
nd1S04670_Right 207
nd1S04682_Left 208
nd1S04682_Right 209
nd1S04683_Left 210
nd1S04683_Right 211
nd1S04684_Left 212
nd1S04684_Right 213
nd1S04689_Left 214
nd1S04689_Right 215
nd1S04695_Left 216
nd1S04695_Right 217
nd1S04697_Left 218
nd1S04697_Right 219
nd1S04701_Left 220
nd1S04701_Right 221
nd1S04702_Left 222
nd1S04702_Right 223
nd1S04709_Left 224
nd1S04709_Right 225
nd1S04711_Left 226
nd1S04711_Right 227
nd1S04712_Left 228
nd1S04712_Right 229
nd1S04715_Left 230
nd1S04715_Right 231
nd1S04716_Left 232
nd1S04716_Right 233
nd1S04724_Left 234
nd1S04724_Right 235
nd1S04725_Left 236
nd1S04725_Right 237
nd1S04727_Left 238
nd1S04727_Right 239
nd1S04728_Left 240
nd1S04728_Right 241
nd1S04730_Left 242
nd1S04730_Right 243
nd1S04737_Left 244
nd1S04737_Right 245
nd1S04738_Left 246
nd1S04738_Right 247
nd1S04743_Left 248
nd1S04743_Right 249
nd1S04747_Left 250
nd1S04747_Right 251
nd1S04748_Left 252
nd1S04748_Right 253
nd1S04749_Left 254
nd1S04749_Right 255
nd1S04754_Left 256
nd1S04754_Right 257
nd1S04757_Left 258
nd1S04757_Right 259
nd1S04758_Left 260
nd1S04758_Right 261
nd1S04760_Left 262
nd1S04760_Right 263
nd1S04762_Left 264
nd1S04762_Right 265
nd1S04763_Left 266
nd1S04763_Right 267
nd1S04765_Left 268
nd1S04765_Right 269
nd1S04768_Left 270
nd1S04768_Right 271
nd1S04772_Left 272
nd1S04772_Right 273
nd1S04775_Left 274
nd1S04775_Right 275
nd1S04777_Left 276
nd1S04777_Right 277
nd1S04778_Left 278
nd1S04778_Right 279
nd1S04782_Left 280
nd1S04782_Right 281
nd1S04786_Left 282
nd1S04786_Right 283
nd1S04790_Left 284
nd1S04790_Right 285
nd1S04796_Left 286
nd1S04796_Right 287
nd1S04798_Left 288
nd1S04798_Right 289
nd1S04803_Left 290
nd1S04803_Right 291
nd1S04811_Left 292
nd1S04811_Right 293
nd1S04812_Left 294
nd1S04812_Right 295
nd1S04813_Left 296
nd1S04813_Right 297
nd1S04815_Left 298
nd1S04815_Right 299
nd1S04816_Left 300
nd1S04816_Right 301
nd1S04821_Left 302
nd1S04821_Right 303
nd1S04822_Left 304
nd1S04822_Right 305
nd1S04827_Left 306
nd1S04827_Right 307
nd1S04830_Left 308
nd1S04830_Right 309
nd1S04833_Left 310
nd1S04833_Right 311
nd1S04840_Left 312
nd1S04840_Right 313
nd1S04841_Left 314
nd1S04841_Right 315
nd1S04842_Left 316
nd1S04842_Right 317
nd1S04843_Left 318
nd1S04843_Right 319
nd1S04846_Left 320
nd1S04846_Right 321
nd1S04848_Left 322
nd1S04848_Right 323
nd1S04849_Left 324
nd1S04849_Right 325
nd1S04850_Left 326
nd1S04850_Right 327
nd1S04853_Left 328
nd1S04853_Right 329
nd1S04854_Left 330
nd1S04854_Right 331
nd1S04859_Left 332
nd1S04859_Right 333
nd1S04863_Left 334
nd1S04863_Right 335
nd1S04866_Left 336
nd1S04866_Right 337
nd1S04868_Left 338
nd1S04868_Right 339
nd1S04873_Left 340
nd1S04873_Right 341
nd1S04877_Left 342
nd1S04877_Right 343
nd1S04878_Left 344
nd1S04878_Right 345
nd1S04880_Left 346
nd1S04880_Right 347
nd1S04881_Left 348
nd1S04881_Right 349
nd1S04882_Left 350
nd1S04882_Right 351
nd1S04883_Left 352
nd1S04883_Right 353
nd1S04884_Left 354
nd1S04884_Right 355
nd1S04888_Left 356
nd1S04888_Right 357
nd1S04890_Left 358
nd1S04890_Right 359
nd1S04891_Left 360
nd1S04891_Right 361
nd1S04892_Left 362
nd1S04892_Right 363
nd1S04893_Left 364
nd1S04893_Right 365
nd1S04894_Left 366
nd1S04894_Right 367
nd1S04896_Left 368
nd1S04896_Right 369
nd1S04898_Left 370
nd1S04898_Right 371
nd1S04899_Left 372
nd1S04899_Right 373
nd1S04900_Left 374
nd1S04900_Right 375
nd1S04901_Left 376
nd1S04901_Right 377
nd1S04903_Left 378
nd1S04903_Right 379
nd1S04904_Left 380
nd1S04904_Right 381
nd1S04907_Left 382
nd1S04907_Right 383
nd1S04911_Left 384
nd1S04911_Right 385
nd1S04916_Left 386
nd1S04916_Right 387
nd1S04917_Left 388
nd1S04917_Right 389
nd1S04921_Left 390
nd1S04921_Right 391
nd1S04935_Left 392
nd1S04935_Right 393
nd1S04975_Left 394
nd1S04975_Right 395
nd1S05011_Left 396
nd1S05011_Right 397
nd1S05015_Left 398
nd1S05015_Right 399
nd1S05027_Left 400
nd1S05027_Right 401
nd1S05028_Left 402
nd1S05028_Right 403
nd1S05044_Left 404
nd1S05044_Right 405
nd1S05052_Left 406
nd1S05052_Right 407
nd1S05053_Left 408
nd1S05053_Right 409
nd1S05129_Right 410
nd1S05155_Left 411
nd1S05155_Right 412
nd1S05156_Left 413
nd1S05156_Right 414
nd1S05165_Left 415
nd1S05165_Right 416
nd1S05175_Left 417
nd1S05175_Right 418
nd1S05176_Left 419
nd1S05176_Right 420
nd1S05179_Left 421
nd1S05179_Right 422
nd1S05186_Left 423
nd1S05186_Right 424
nd1S05191_Left 425
nd1S05191_Right 426
nd1S05204_Left 427
nd1S05204_Right 428
nd1S05213_Left 429
nd1S05213_Right 430
nd1S05215_Left 431
nd1S05215_Right 432
nd1S05227_Left 433
nd1S05227_Right 434
nd1S05233_Left 435
nd1S05233_Right 436
nd1S05248_Left 437
nd1S05248_Right 438
nd1S05249_Left 439
nd1S05249_Right 440
nd1S05256_Left 441
nd1S05256_Right 442
nd1S05260_Left 443
nd1S05260_Right 444
nd1S05275_Left 445
nd1S05283_Left 446
nd1S05283_Right 447
nd1S05284_Left 448
nd1S05284_Right 449
nd1S05286_Right 450
nd1S05288_Left 451
nd1S05288_Right 452
nd1S05289_Left 453
nd1S05289_Right 454
nd1S05292_Left 455
nd1S05292_Right 456
nd1S05293_Left 457
nd1S05293_Right 458
nd1S05297_Left 459
nd1S05297_Right 460
nd1S05298_Left 461
nd1S05298_Right 462
nd1S05300_Left 463
nd1S05300_Right 464
nd1S05301_Left 465
nd1S05301_Right 466
nd1S05302_Left 467
nd1S05302_Right 468
nd1S05303_Left 469
nd1S05303_Right 470
nd1S05304_Left 471
nd1S05304_Right 472
nd1S05305_Left 473
nd1S05305_Right 474
nd1S05310_Left 475
nd1S05310_Right 476
nd1S05312_Left 477
nd1S05312_Right 478
nd1S05314_Left 479
nd1S05314_Right 480
nd1S05317_Left 481
nd1S05317_Right 482
nd1S05318_Left 483
nd1S05318_Right 484
nd1S05320_Left 485
nd1S05320_Right 486
nd1S05321_Left 487
nd1S05321_Right 488
nd1S05324_Left 489
nd1S05324_Right 490
nd1S05337_Left 491
nd1S05337_Right 492
nd1S05338_Left 493
nd1S05338_Right 494
nd1S05340_Left 495
nd1S05340_Right 496
nd1S05341_Left 497
nd1S05341_Right 498
nd1S05342_Left 499
nd1S05342_Right 500
nd1S05344_Left 501
nd1S05344_Right 502
nd1S05355_Left 503
nd1S05355_Right 504
nd1S05364_Left 505
nd1S05364_Right 506
nd1S05367_Left 507
nd1S05367_Right 508
nd1S05368_Left 509
nd1S05368_Right 510
nd1S05369_Left 511
nd1S05369_Right 512
nd1S05373_Left 513
nd1S05373_Right 514
nd1S05375_Left 515
nd1S05375_Right 516
nd1S05379_Left 517
nd1S05379_Right 518
nd1S05380_Left 519
nd1S05380_Right 520
nd1S05382_Left 521
nd1S05382_Right 522
nd1S05386_Left 523
nd1S05386_Right 524
nd1S05389_Left 525
nd1S05389_Right 526
nd1S05392_Left 527
nd1S05392_Right 528
nd1S05393_Left 529
nd1S05393_Right 530
nd1S05394_Left 531
nd1S05394_Right 532
nd1S05399_Left 533
nd1S05399_Right 534
nd1S05401_Left 535
nd1S05401_Right 536
nd1S05403_Left 537
nd1S05403_Right 538
nd1S05404_Left 539
nd1S05404_Right 540
nd1S05406_Left 541
nd1S05406_Right 542
nd1S05407_Left 543
nd1S05407_Right 544
nd1S05408_Left 545
nd1S05408_Right 546
nd1S05409_Left 547
nd1S05409_Right 548
nd1S05411_Left 549
nd1S05411_Right 550
nd1S05412_Left 551
nd1S05412_Right 552
nd1S05421_Left 553
nd1S05421_Right 554
nd1S05430_Left 555
nd1S05430_Right 556
nd1S05432_Left 557
nd1S05432_Right 558
nd1S05433_Left 559
nd1S05433_Right 560
nd1S05439_Left 561
nd1S05439_Right 562
nd1S05442_Left 563
nd1S05442_Right 564
nd1S05444_Right 565
nd1S05445_Left 566
nd1S05445_Right 567
nd1S05447_Left 568
nd1S05447_Right 569
nd1S05448_Left 570
nd1S05448_Right 571
nd1S05450_Left 572
nd1S05450_Right 573
nd1S05455_Left 574
nd1S05455_Right 575
nd1S05456_Left 576
nd1S05456_Right 577
nd1S05457_Left 578
nd1S05457_Right 579
nd1S05459_Left 580
nd1S05459_Right 581
nd1S05461_Left 582
nd1S05461_Right 583
nd1S05463_Left 584
nd1S05463_Right 585
nd1S05469_Left 586
nd1S05469_Right 587
nd1S05470_Left 588
nd1S05470_Right 589
nd1S05471_Left 590
